,sin_d,cos_d,sin_t,cos_t,cl_1,cl_2,cl_3,cl_4,cl_5,cl_6,target
0,0.7818314824680298,0.6234898018587336,0.9396926207859083,0.3420201433256688,l,l,l,l,l,l,l
1,0.7818314824680298,0.6234898018587336,0.9537169507482269,0.3007057995042733,l,l,l,l,l,l,l
2,0.7818314824680298,0.6234898018587336,0.9659258262890683,0.25881904510252074,l,l,l,l,l,l,l
3,0.7818314824680298,0.6234898018587336,0.9762960071199334,0.2164396139381029,l,l,l,l,l,l,l
4,0.7818314824680298,0.6234898018587336,0.984807753012208,0.17364817766693041,l,l,l,l,l,l,l
5,0.7818314824680298,0.6234898018587336,0.9914448613738104,0.1305261922200517,l,l,l,l,l,l,l
6,0.7818314824680298,0.6234898018587336,0.9961946980917455,0.08715574274765814,l,l,l,l,l,l,l
7,0.7818314824680298,0.6234898018587336,0.9990482215818578,0.04361938736533623,l,l,l,l,l,l,l
8,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,l,l,l,l,l,l,l
9,0.7818314824680298,0.6234898018587336,0.9990482215818578,-0.04361938736533589,l,l,l,l,l,l,l
10,0.7818314824680298,0.6234898018587336,0.9961946980917455,-0.08715574274765824,l,l,l,l,l,l,l
11,0.7818314824680298,0.6234898018587336,0.9914448613738105,-0.13052619222005138,l,l,l,l,l,l,l
12,0.7818314824680298,0.6234898018587336,0.984807753012208,-0.1736481776669303,l,l,l,l,l,l,l
13,0.7818314824680298,0.6234898018587336,0.9762960071199334,-0.2164396139381028,l,l,l,l,l,l,l
14,0.7818314824680298,0.6234898018587336,0.9659258262890683,-0.25881904510252085,l,l,l,l,l,l,l
15,0.7818314824680298,0.6234898018587336,0.9537169507482269,-0.30070579950427295,l,l,l,l,l,l,l
16,0.7818314824680298,0.6234898018587336,0.9396926207859084,-0.3420201433256687,l,l,l,l,l,l,l
17,0.7818314824680298,0.6234898018587336,0.9238795325112867,-0.3826834323650897,l,l,l,l,l,l,l
18,0.7818314824680298,0.6234898018587336,0.90630778703665,-0.42261826174069933,l,l,l,l,l,l,l
19,0.7818314824680298,0.6234898018587336,0.8870108331782218,-0.4617486132350338,l,l,l,l,l,l,l
20,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.49999999999999983,l,l,l,l,l,l,l
21,0.7818314824680298,0.6234898018587336,0.8433914458128858,-0.5372996083468236,l,l,l,l,l,l,l
22,0.7818314824680298,0.6234898018587336,0.819152044288992,-0.5735764363510458,l,l,l,l,l,l,l
23,0.7818314824680298,0.6234898018587336,0.7933533402912352,-0.6087614290087207,l,l,l,l,l,l,l
24,0.7818314824680298,0.6234898018587336,0.766044443118978,-0.6427876096865394,l,l,l,l,l,l,l
