id,created_at,station,start_time,end_time,crowd_level
35627,2025-04-12 21:00:18.336998,CC1,2025-04-13T04:40:00+08:00,2025-04-13T04:50:00+08:00,l
35628,2025-04-12 21:00:18.336998,CC10,2025-04-13T04:40:00+08:00,2025-04-13T04:50:00+08:00,l
35629,2025-04-12 21:00:18.336998,CC11,2025-04-13T04:40:00+08:00,2025-04-13T04:50:00+08:00,l
35630,2025-04-12 21:00:18.336998,CC12,2025-04-13T04:40:00+08:00,2025-04-13T04:50:00+08:00,l
35631,2025-04-12 21:00:18.336998,CC13,2025-04-13T04:40:00+08:00,2025-04-13T04:50:00+08:00,l
35632,2025-04-12 21:00:18.336998,CC14,2025-04-13T04:40:00+08:00,2025-04-13T04:50:00+08:00,l
35633,2025-04-12 21:00:18.336998,CC15,2025-04-13T04:40:00+08:00,2025-04-13T04:50:00+08:00,l
35634,2025-04-12 21:00:18.336998,CC16,2025-04-13T04:40:00+08:00,2025-04-13T04:50:00+08:00,l
35635,2025-04-12 21:00:18.336998,CC17,2025-04-13T04:40:00+08:00,2025-04-13T04:50:00+08:00,l
35636,2025-04-12 21:00:18.336998,CC19,2025-04-13T04:40:00+08:00,2025-04-13T04:50:00+08:00,l
35637,2025-04-12 21:00:18.336998,CC2,2025-04-13T04:40:00+08:00,2025-04-13T04:50:00+08:00,l
35638,2025-04-12 21:00:18.336998,CC20,2025-04-13T04:40:00+08:00,2025-04-13T04:50:00+08:00,l
35639,2025-04-12 21:00:18.336998,CC21,2025-04-13T04:40:00+08:00,2025-04-13T04:50:00+08:00,l
35640,2025-04-12 21:00:18.336998,CC22,2025-04-13T04:40:00+08:00,2025-04-13T04:50:00+08:00,l
35641,2025-04-12 21:00:18.336998,CC23,2025-04-13T04:40:00+08:00,2025-04-13T04:50:00+08:00,l
35642,2025-04-12 21:00:18.336998,CC24,2025-04-13T04:40:00+08:00,2025-04-13T04:50:00+08:00,l
35643,2025-04-12 21:00:18.336998,CC25,2025-04-13T04:40:00+08:00,2025-04-13T04:50:00+08:00,l
35644,2025-04-12 21:00:18.336998,CC26,2025-04-13T04:40:00+08:00,2025-04-13T04:50:00+08:00,l
35645,2025-04-12 21:00:18.336998,CC27,2025-04-13T04:40:00+08:00,2025-04-13T04:50:00+08:00,l
35646,2025-04-12 21:00:18.336998,CC28,2025-04-13T04:40:00+08:00,2025-04-13T04:50:00+08:00,l
35647,2025-04-12 21:00:18.336998,CC29,2025-04-13T04:40:00+08:00,2025-04-13T04:50:00+08:00,l
35648,2025-04-12 21:00:18.336998,CC3,2025-04-13T04:40:00+08:00,2025-04-13T04:50:00+08:00,l
35649,2025-04-12 21:00:18.336998,CC4,2025-04-13T04:40:00+08:00,2025-04-13T04:50:00+08:00,l
35650,2025-04-12 21:00:18.336998,CC5,2025-04-13T04:40:00+08:00,2025-04-13T04:50:00+08:00,l
35651,2025-04-12 21:00:18.336998,CC6,2025-04-13T04:40:00+08:00,2025-04-13T04:50:00+08:00,l
35652,2025-04-12 21:00:18.336998,CC7,2025-04-13T04:40:00+08:00,2025-04-13T04:50:00+08:00,l
35653,2025-04-12 21:00:18.336998,CC8,2025-04-13T04:40:00+08:00,2025-04-13T04:50:00+08:00,l
35654,2025-04-12 21:00:18.336998,CC9,2025-04-13T04:40:00+08:00,2025-04-13T04:50:00+08:00,l
35655,2025-04-12 21:00:18.336998,CE1,2025-04-13T04:40:00+08:00,2025-04-13T04:50:00+08:00,l
35656,2025-04-12 21:00:18.336998,CE2,2025-04-13T04:40:00+08:00,2025-04-13T04:50:00+08:00,l
35657,2025-04-12 21:00:18.336998,CG1,2025-04-13T04:40:00+08:00,2025-04-13T04:50:00+08:00,l
35658,2025-04-12 21:00:18.336998,CG2,2025-04-13T04:40:00+08:00,2025-04-13T04:50:00+08:00,l
35659,2025-04-12 21:00:18.336998,DT1,2025-04-13T04:40:00+08:00,2025-04-13T04:50:00+08:00,l
35660,2025-04-12 21:00:18.336998,DT10,2025-04-13T04:40:00+08:00,2025-04-13T04:50:00+08:00,l
35661,2025-04-12 21:00:18.336998,DT11,2025-04-13T04:40:00+08:00,2025-04-13T04:50:00+08:00,l
35662,2025-04-12 21:00:18.336998,DT12,2025-04-13T04:40:00+08:00,2025-04-13T04:50:00+08:00,l
35663,2025-04-12 21:00:18.336998,DT13,2025-04-13T04:40:00+08:00,2025-04-13T04:50:00+08:00,l
35664,2025-04-12 21:00:18.336998,DT14,2025-04-13T04:40:00+08:00,2025-04-13T04:50:00+08:00,l
35665,2025-04-12 21:00:18.336998,DT15,2025-04-13T04:40:00+08:00,2025-04-13T04:50:00+08:00,l
