id,created_at,station,start_time,end_time,crowd_level
136435,2025-04-16 21:00:18.388708,CC1,2025-04-17T04:40:00+08:00,2025-04-17T04:50:00+08:00,l
136436,2025-04-16 21:00:18.388708,CC10,2025-04-17T04:40:00+08:00,2025-04-17T04:50:00+08:00,l
136437,2025-04-16 21:00:18.388708,CC11,2025-04-17T04:40:00+08:00,2025-04-17T04:50:00+08:00,l
136438,2025-04-16 21:00:18.388708,CC12,2025-04-17T04:40:00+08:00,2025-04-17T04:50:00+08:00,l
136439,2025-04-16 21:00:18.388708,CC13,2025-04-17T04:40:00+08:00,2025-04-17T04:50:00+08:00,l
136440,2025-04-16 21:00:18.388708,CC14,2025-04-17T04:40:00+08:00,2025-04-17T04:50:00+08:00,l
136441,2025-04-16 21:00:18.388708,CC15,2025-04-17T04:40:00+08:00,2025-04-17T04:50:00+08:00,l
136442,2025-04-16 21:00:18.388708,CC16,2025-04-17T04:40:00+08:00,2025-04-17T04:50:00+08:00,l
136443,2025-04-16 21:00:18.388708,CC17,2025-04-17T04:40:00+08:00,2025-04-17T04:50:00+08:00,l
136444,2025-04-16 21:00:18.388708,CC19,2025-04-17T04:40:00+08:00,2025-04-17T04:50:00+08:00,l
136445,2025-04-16 21:00:18.388708,CC2,2025-04-17T04:40:00+08:00,2025-04-17T04:50:00+08:00,l
136446,2025-04-16 21:00:18.388708,CC20,2025-04-17T04:40:00+08:00,2025-04-17T04:50:00+08:00,l
136447,2025-04-16 21:00:18.388708,CC21,2025-04-17T04:40:00+08:00,2025-04-17T04:50:00+08:00,l
136448,2025-04-16 21:00:18.388708,CC22,2025-04-17T04:40:00+08:00,2025-04-17T04:50:00+08:00,l
136449,2025-04-16 21:00:18.388708,CC23,2025-04-17T04:40:00+08:00,2025-04-17T04:50:00+08:00,l
136450,2025-04-16 21:00:18.388708,CC24,2025-04-17T04:40:00+08:00,2025-04-17T04:50:00+08:00,l
136451,2025-04-16 21:00:18.388708,CC25,2025-04-17T04:40:00+08:00,2025-04-17T04:50:00+08:00,l
