id,created_at,station,start_time,end_time,crowd_level
161637,2025-04-17 21:00:18.528169,CC1,2025-04-18T04:40:00+08:00,2025-04-18T04:50:00+08:00,l
161638,2025-04-17 21:00:18.528169,CC10,2025-04-18T04:40:00+08:00,2025-04-18T04:50:00+08:00,l
161639,2025-04-17 21:00:18.528169,CC11,2025-04-18T04:40:00+08:00,2025-04-18T04:50:00+08:00,l
161640,2025-04-17 21:00:18.528169,CC12,2025-04-18T04:40:00+08:00,2025-04-18T04:50:00+08:00,l
161641,2025-04-17 21:00:18.528169,CC13,2025-04-18T04:40:00+08:00,2025-04-18T04:50:00+08:00,l
161642,2025-04-17 21:00:18.528169,CC14,2025-04-18T04:40:00+08:00,2025-04-18T04:50:00+08:00,l
161643,2025-04-17 21:00:18.528169,CC15,2025-04-18T04:40:00+08:00,2025-04-18T04:50:00+08:00,l
161644,2025-04-17 21:00:18.528169,CC16,2025-04-18T04:40:00+08:00,2025-04-18T04:50:00+08:00,l
161645,2025-04-17 21:00:18.528169,CC17,2025-04-18T04:40:00+08:00,2025-04-18T04:50:00+08:00,l
161646,2025-04-17 21:00:18.528169,CC19,2025-04-18T04:40:00+08:00,2025-04-18T04:50:00+08:00,l
161647,2025-04-17 21:00:18.528169,CC2,2025-04-18T04:40:00+08:00,2025-04-18T04:50:00+08:00,l
161648,2025-04-17 21:00:18.528169,CC20,2025-04-18T04:40:00+08:00,2025-04-18T04:50:00+08:00,l
161649,2025-04-17 21:00:18.528169,CC21,2025-04-18T04:40:00+08:00,2025-04-18T04:50:00+08:00,l
161650,2025-04-17 21:00:18.528169,CC22,2025-04-18T04:40:00+08:00,2025-04-18T04:50:00+08:00,l
161651,2025-04-17 21:00:18.528169,CC23,2025-04-18T04:40:00+08:00,2025-04-18T04:50:00+08:00,l
161652,2025-04-17 21:00:18.528169,CC24,2025-04-18T04:40:00+08:00,2025-04-18T04:50:00+08:00,l
161653,2025-04-17 21:00:18.528169,CC25,2025-04-18T04:40:00+08:00,2025-04-18T04:50:00+08:00,l
161654,2025-04-17 21:00:18.528169,CC26,2025-04-18T04:40:00+08:00,2025-04-18T04:50:00+08:00,l
161655,2025-04-17 21:00:18.528169,CC27,2025-04-18T04:40:00+08:00,2025-04-18T04:50:00+08:00,l
161656,2025-04-17 21:00:18.528169,CC28,2025-04-18T04:40:00+08:00,2025-04-18T04:50:00+08:00,l
